Date/time,Humidity percent
2021-09-25 17:31:53.201527,52.58
2021-09-25 17:32:52.852613,52.81
2021-09-25 17:33:52.504480,53.19
2021-09-25 17:34:52.151373,52.59
2021-09-25 17:35:51.803737,52.81
2021-09-25 17:36:51.451119,52.35
2021-09-25 17:37:51.102630,52.39
2021-09-25 17:38:50.751098,52.7
2021-09-25 17:39:50.402917,52.46
2021-09-25 17:40:50.052940,52.59
2021-09-25 17:41:49.704018,52.75
2021-09-25 17:42:49.352670,52.81
2021-09-25 17:43:49.004702,52.75
2021-09-25 17:44:48.654104,52.91
2021-09-25 17:45:48.302783,52.54
2021-09-25 17:46:47.954307,52.85
2021-09-25 17:47:47.602165,53.18
2021-09-25 17:48:47.254976,52.72
2021-09-25 17:49:46.903069,52.8
2021-09-25 17:50:46.553307,52.61
2021-09-25 17:51:46.202212,52.58
2021-09-25 17:52:45.853294,53.38
2021-09-25 17:53:45.499777,52.76
2021-09-25 17:54:45.151112,52.73
2021-09-25 17:55:44.802137,52.58
2021-09-25 17:56:44.454916,52.68
2021-09-25 17:57:44.102770,52.62
2021-09-25 17:58:43.748629,52.58
2021-09-25 17:59:43.403272,54.76
2021-09-25 18:00:43.050926,52.64
2021-09-25 18:01:42.702840,52.65
2021-09-25 18:02:42.355940,52.45
2021-09-25 18:03:42.001959,53.06
2021-09-25 18:04:41.651998,53.03
2021-09-25 18:05:41.301798,52.6
2021-09-25 18:06:40.952533,52.82
2021-09-25 18:07:40.602893,52.71
2021-09-25 18:08:40.254012,52.44
2021-09-25 18:09:39.906373,52.88
2021-09-25 18:10:39.553279,52.7
2021-09-25 18:11:39.203229,52.49
2021-09-25 18:12:38.851384,52.93
2021-09-25 18:13:38.502253,52.81
2021-09-25 18:14:38.150615,52.71
2021-09-25 18:15:37.804117,52.82
2021-09-25 18:16:37.454229,52.37
2021-09-25 18:17:37.103047,53.04
2021-09-25 18:18:36.749971,52.63
2021-09-25 18:19:36.402660,53.4
2021-09-25 18:20:36.052746,52.63
2021-09-25 18:21:35.702492,52.55
2021-09-25 18:22:35.351898,52.8
2021-09-25 18:23:35.001788,52.75
2021-09-25 18:24:34.652237,52.93
2021-09-25 18:25:34.303143,52.83
2021-09-25 18:26:33.953531,52.72
2021-09-25 18:27:33.605282,52.24
2021-09-25 18:28:33.254014,52.33
2021-09-25 18:29:32.905965,52.74
2021-09-25 18:30:32.553712,52.71
2021-09-25 18:31:32.204800,52.86
2021-09-25 18:32:31.849989,52.42
2021-09-25 18:33:31.502145,52.45
2021-09-25 18:34:31.150679,52.63
2021-09-25 18:35:30.799771,52.59
2021-09-25 18:36:30.449527,52.56
2021-09-25 18:37:30.103958,52.67
2021-09-25 18:38:29.753679,52.42
2021-09-25 18:39:29.403778,52.46
2021-09-25 18:40:29.051960,52.81
2021-09-25 18:41:28.701645,52.51
2021-09-25 18:42:28.350913,52.41
2021-09-25 18:43:28.002927,52.44
2021-09-25 18:44:27.652439,51.23
2021-09-25 18:45:27.303185,53.0
2021-09-25 18:46:26.952568,52.48
2021-09-25 18:47:26.603195,52.6
2021-09-25 18:48:26.252617,52.76
2021-09-25 18:49:25.903282,52.68
2021-09-25 18:50:25.550893,52.18
2021-09-25 18:51:25.203228,52.43
2021-09-25 18:52:24.849614,52.91
2021-09-25 18:53:24.502013,52.48
2021-09-25 18:54:24.152652,52.65
2021-09-25 18:55:23.801848,52.89
2021-09-25 18:56:23.451495,52.92
2021-09-25 18:57:23.103562,52.85
2021-09-25 18:58:22.750670,52.8
2021-09-25 18:59:22.402151,52.7
2021-09-25 19:00:22.052018,52.81
2021-09-25 19:01:21.702940,52.47
2021-09-25 19:02:21.351303,52.64
2021-09-25 19:03:21.003652,53.05
2021-09-25 19:04:20.650942,52.99
2021-09-25 19:05:20.300964,52.89
2021-09-25 19:06:19.952135,52.71
2021-09-25 19:07:19.600325,52.68
2021-09-25 19:08:19.251323,52.92
2021-09-25 19:09:18.906073,52.05
2021-09-25 19:10:18.551634,53.12
2021-09-25 19:11:18.203415,52.81
2021-09-25 19:12:17.853452,52.85
2021-09-25 19:13:17.501475,53.16
2021-09-25 19:14:17.153794,52.78
2021-09-25 19:15:16.804320,53.31
2021-09-25 19:16:16.452087,53.27
2021-09-25 19:17:16.104931,53.91
2021-09-25 19:18:15.751953,54.06
2021-09-25 19:19:15.400456,53.13
2021-09-25 19:20:15.051054,53.04
